Name,Url
N9000B,https://www.keysight.com/us/en/lib/software-detail/instrument-firmware-software/n9000b-cxa-signal-analyzer-instrument-software-2674911.html
N9010B,https://www.keysight.com/zz/en/lib/software-detail/instrument-firmware-software/n9010b-exa-signal-analyzer-instrument-software-2674915.html
N9020B,https://www.keysight.com/us/en/lib/software-detail/instrument-firmware-software/n9020b-mxa-signal-analyzer-instrument-software-2674919.html
N9030B,https://www.keysight.com/zz/en/lib/software-detail/instrument-firmware-software/n9030b-pxa-signal-analyzer-instrument-software-2674923.html
N9040B,https://www.keysight.com/zz/en/lib/software-detail/instrument-firmware-software/n9040b-uxa-signal-analyzer-instrument-software-2508896.html
N9041B,https://www.keysight.com/zz/en/lib/software-detail/instrument-firmware-software/n9041b-uxa-signal-analyzer-instrument-software-2872032.html
N9042B,https://www.keysight.com/zz/en/lib/software-detail/instrument-firmware-software/n9042b-uxa-instrument-software.html
E5061A,https://www.keysight.com/zz/en/lib/software-detail/instrument-firmware-software/e5061a62a-rf-network-analyzers-firmware-update-711225.html
E5061B,https://www.keysight.com/zz/en/lib/software-detail/instrument-firmware-software/e5061b-network-analyzers-firmware-update-1815654.html
E5062A,https://www.keysight.com/zz/en/lib/software-detail/instrument-firmware-software/e5061a62a-rf-network-analyzers-firmware-update-711225.html
E5063A,https://www.keysight.com/zz/en/lib/software-detail/instrument-firmware-software/e5063a-network-analyzers-firmware-update-2431637.html
